session_id,model_name,status,train_samples,mean_px_error,noise_level
20260619_023032_test00_cc900b2f,model_20260619_023032_test00_cc900b2f,success,13,41.32,0.0
20260619_023048_test00_35b6ca2d,model_20260619_023048_test00_35b6ca2d,success,1,0.0,0.0
20260619_023139_test01_9bd3254f,model_20260619_023139_test01_9bd3254f,success,13,76.03,0.0
20260619_023154_test01_108a76b3,model_20260619_023154_test01_108a76b3,success,1,0.0,0.0
20260619_125907_test00_user_75ad5c2d,model_20260619_125907_test00_user_75ad5c2d,success,1,0.0,0.0
20260619_125914_test01_user_88bd7812,model_20260619_125914_test01_user_88bd7812,success,1,0.0,0.0
20260619_130024_test00_user_3dffa7af,model_20260619_130024_test00_user_3dffa7af,success,13,43.34,0.0
20260619_130031_test01_user_586cfdd7,model_20260619_130031_test01_user_586cfdd7,success,13,69.86,0.0
20260619_131139_test00_user_ea133837,model_20260619_131139_test00_user_ea133837,success,13,43.34,0.0
20260619_131147_test01_user_1955a87a,model_20260619_131147_test01_user_1955a87a,success,13,69.86,0.0
20260619_133422_test00_user_96b48b54,model_20260619_133422_test00_user_96b48b54,success,13,43.34,0.0
20260619_134138_test00_user_90a8286f,model_20260619_134138_test00_user_90a8286f,success,13,43.34,0.0
20260620_033529_test03_e4dcb416,model_20260620_033529_test03_e4dcb416,success,13,37.69,0.0
20260620_033554_test03_9fe2b670,model_20260620_033554_test03_9fe2b670,success,13,45.83,0.0
20260620_033641_test04_4fa6a1f0,model_20260620_033641_test04_4fa6a1f0,success,13,60.89,0.0
20260620_033706_test04_6e4f658b,model_20260620_033706_test04_6e4f658b,success,13,40.9,0.0
20260621_023258_test05_819e0830,model_20260621_023258_test05_819e0830,success,13,123.91,0.0
20260621_132814_test06_56d21fb7,model_20260621_132814_test06_56d21fb7,success,13,96.12,0.0
20260621_133007_test07_bfbbce88,model_20260621_133007_test07_bfbbce88,success,13,35.13,0.0
20260621_133033_test07_1b1231a2,model_20260621_133033_test07_1b1231a2,success,13,35.94,0.0
20260621_140120_test08_2c76ab51,model_20260621_140120_test08_2c76ab51,success,13,29.8,0.0
20260621_140144_test08_e567d000,model_20260621_140144_test08_e567d000,success,13,32.51,0.0
20260622_021226_test09_bd325597,model_20260622_021226_test09_bd325597,success,13,53.63,0.0
20260622_021244_test09_b0c48b1b,model_20260622_021244_test09_b0c48b1b,success,13,43.2,0.0
20260622_021937_test10_4e68030d,model_20260622_021937_test10_4e68030d,success,13,196.91,0.0
20260622_021955_test10_f9df3629,model_20260622_021955_test10_f9df3629,success,13,198.79,0.0
20260622_022346_test11_07f5c51d,model_20260622_022346_test11_07f5c51d,success,13,46.16,0.0
20260622_022403_test11_5ef55fde,model_20260622_022403_test11_5ef55fde,success,13,76.82,0.0
20260622_111638_test12_2144b09a,model_20260622_111638_test12_2144b09a,success,13,92.63,0.0
20260622_111653_test12_479ef630,model_20260622_111653_test12_479ef630,success,13,62.39,0.0
20260622_114138_test13_d8b29aca,model_20260622_114138_test13_d8b29aca,success,13,128.72,0.0
20260622_114153_test13_8a5e22db,model_20260622_114153_test13_8a5e22db,success,13,123.84,0.0
20260622_115708_test14_f1d99671,model_20260622_115708_test14_f1d99671,success,13,80.5,0.0
20260622_115721_test14_6ce38c2f,model_20260622_115721_test14_6ce38c2f,success,13,126.27,0.0
20260622_121039_test17_fed06cbc,model_20260622_121039_test17_fed06cbc,success,13,70.11,0.0
20260622_121053_test17_88e9aa6c,model_20260622_121053_test17_88e9aa6c,success,13,83.58,0.0
20260622_130750_test18_62ca7c86,model_20260622_130750_test18_62ca7c86,success,13,67.08,0.0
20260622_130804_test18_3e3bf349,model_20260622_130804_test18_3e3bf349,success,13,55.4,0.0
20260622_134453_test20_407fb000,model_20260622_134453_test20_407fb000,success,13,73.59,0.0
20260622_134507_test20_0ee77d5e,model_20260622_134507_test20_0ee77d5e,success,13,57.31,0.0
20260622_134605_test21_0f65237a,model_20260622_134605_test21_0f65237a,success,13,87.51,0.0
20260622_134618_test21_dad03abf,model_20260622_134618_test21_dad03abf,success,13,82.39,0.0
20260622_142705_test32_ac9966b3,model_20260622_142705_test32_ac9966b3,success,13,46.38,0.0
20260622_142719_test32_ca63458e,model_20260622_142719_test32_ca63458e,success,13,40.37,0.0
20260622_145422_test217_b3757b65,model_20260622_145422_test217_b3757b65,success,13,112.14,0.0
20260622_145436_test217_f9e813ca,model_20260622_145436_test217_f9e813ca,success,13,77.8,0.0
20260622_145754_test50_52d7a3d4,model_20260622_145754_test50_52d7a3d4,success,13,55.15,0.0
20260622_145807_test50_6fa88361,model_20260622_145807_test50_6fa88361,success,13,42.72,0.0
20260622_162245_test9999_c3d757f8,model_20260622_162245_test9999_c3d757f8,success,13,41.5,0.0
20260622_162259_test9999_0fa3a6ea,model_20260622_162259_test9999_0fa3a6ea,success,13,57.45,0.0
20260629_060629_test001_9e886428,model_20260629_060629_test001_9e886428,success,13,48.78,0.0
20260629_060644_test001_d254be84,model_20260629_060644_test001_d254be84,success,13,56.26,0.0
20260629_063840_test002_c47418ff,model_20260629_063840_test002_c47418ff,success,13,25.42,0.0
20260629_063854_test002_f9bf976c,model_20260629_063854_test002_f9bf976c,success,13,46.23,0.0
20260629_064656_test003_96cee860,model_20260629_064656_test003_96cee860,success,13,45.09,0.0
20260629_064709_test003_9fed04ca,model_20260629_064709_test003_9fed04ca,success,13,56.36,0.0
20260629_070051_test004_eeb984ae,model_20260629_070051_test004_eeb984ae,success,13,70.0,0.0
20260629_070106_test004_bcdaf403,model_20260629_070106_test004_bcdaf403,success,13,65.57,0.0
20260629_070754_test005_0704ca1b,model_20260629_070754_test005_0704ca1b,success,13,65.97,0.0
20260629_070807_test005_8ee78b0d,model_20260629_070807_test005_8ee78b0d,success,13,64.69,0.0
