subject_fold,trial_fold,train_rows,test_rows,ridge_spearman_rho,ridge_mae_log
0,0,310235,20557,0.3614492487157434,0.5110264899843124
0,1,306416,22345,0.32354513967264176,0.5061663324450013
0,2,309038,21603,0.32983898050390503,0.5080377090638588
0,3,307704,21378,0.3294148534260527,0.506700611798108
0,4,316647,19146,0.3259646682715302,0.5110580632523758
1,0,306116,22612,0.1520928483537102,0.4998580926702087
1,1,300637,22740,0.15126227181385762,0.5114403624351833
1,2,303374,22113,0.14034109552909427,0.5019566167787366
1,3,303323,23171,0.1204705409008104,0.5038641521520519
1,4,311894,20567,0.13768654649505144,0.5021040149255478
2,0,313551,19881,0.14393547284392744,0.5034225211391892
2,1,309687,21624,0.16101788241228895,0.5050810684111843
2,2,312058,20631,0.14589257822778445,0.5077571402317466
2,3,311117,20799,0.12010898263667188,0.5107537485218377
2,4,319595,18102,0.14034123679088129,0.5059476118585237
3,0,319507,18408,0.04286735451307431,0.5169775008890943
3,1,315367,19875,0.04978335732543998,0.5196393731296911
3,2,318105,19249,0.030530267208084362,0.522457841345923
3,3,316691,18944,0.044140960890583676,0.5186376597347514
3,4,326054,17132,0.028573566574901222,0.5152095024536261
4,0,329419,16374,0.201236709059055,0.48159297746623275
4,1,324293,16855,0.20471705246760535,0.48902917554418557
4,2,327281,16479,0.16269589473438997,0.48420087201875633
4,3,326585,16892,0.1764819769053265,0.4844328538232453
4,4,335930,15062,0.18533337205964323,0.4818654233543332
