lang,sigma_fwd,sigma_reg,gamma,mean_word_acc,mean_top3_acc,mean_line_rec,trials_evaluated
L1,0.8,1.0,0.05,9.275552142179475,20.013226072897794,41.056874577955895,40
L1,0.5,1.5,0.2,8.545784243872134,18.746513145857545,39.765167263506115,40
L1,0.8,1.0,0.2,9.300304617427003,20.013226072897794,41.056874577955895,40
L1,0.5,1.5,0.3,8.505133837368069,18.746513145857545,39.79067746758774,40
L1,0.5,2.0,0.3,8.322246673912279,18.65462661151782,39.63041571949235,40
L1,0.5,1.5,0.1,8.545784243872134,18.746513145857545,39.765167263506115,40
L1,0.5,1.0,0.05,8.265735073126937,18.42682703423324,39.56610589132431,40
L1,0.5,1.5,0.05,8.545784243872134,18.746513145857545,39.765167263506115,40
L1,0.5,1.0,0.1,8.265735073126937,18.42682703423324,39.56610589132431,40
L1,0.5,2.0,0.1,8.362897080416344,18.65462661151782,39.63041571949235,40
L1,0.5,2.0,0.2,8.322246673912279,18.65462661151782,39.63041571949235,40
L1,0.5,1.0,0.3,8.265735073126937,18.42682703423324,39.56610589132431,40
L1,0.5,1.0,0.2,8.265735073126937,18.42682703423324,39.56610589132431,40
L1,0.8,1.0,0.3,9.300304617427003,20.013226072897794,41.056874577955895,40
L1,0.8,1.0,0.1,9.275552142179475,20.013226072897794,41.056874577955895,40
L1,0.5,2.0,0.05,8.362897080416344,18.65462661151782,39.63041571949235,40
L1,1.0,1.0,0.3,8.989530418153274,19.745711093093753,40.59751196605964,40
L1,1.0,1.5,0.1,8.892299468160296,19.74254118131447,40.64318990799567,40
L1,1.0,1.0,0.1,8.926886408936685,19.745711093093753,40.59751196605964,40
L1,1.0,1.5,0.2,8.892299468160296,19.74254118131447,40.64318990799567,40
L1,1.0,1.5,0.05,8.892299468160296,19.74254118131447,40.64318990799567,40
L1,0.8,1.5,0.05,9.3982042979032,20.189353906876153,40.32127853595044,40
L1,0.8,2.0,0.2,9.409985484383922,20.18690469433917,40.23448282424998,40
L1,0.8,1.5,0.2,9.47572367774816,20.228113596798632,40.32127853595044,40
L1,1.0,1.5,0.3,8.869978039588867,19.72021975274304,40.64318990799567,40
L1,0.8,1.5,0.1,9.47572367774816,20.228113596798632,40.32127853595044,40
L1,0.8,2.0,0.05,9.409985484383922,20.18690469433917,40.23448282424998,40
L1,1.0,1.0,0.2,8.949207837508112,19.745711093093753,40.59751196605964,40
L1,1.0,1.0,0.05,8.926886408936685,19.745711093093753,40.59751196605964,40
L1,0.8,2.0,0.1,9.409985484383922,20.18690469433917,40.23448282424998,40
L1,0.8,2.0,0.3,9.409985484383922,20.18690469433917,40.23448282424998,40
L1,0.8,1.5,0.3,9.498045106319589,20.13882788251292,40.32127853595044,40
L1,1.0,2.0,0.3,9.032625151781266,19.5727744962471,40.42990553353475,40
L1,1.0,2.0,0.05,9.032625151781266,19.5727744962471,40.42990553353475,40
L1,1.2,1.5,0.3,8.497732754618545,18.875144827556074,38.772003739224594,40
L1,1.2,1.0,0.3,9.09791704542283,20.444679422634024,41.800852509207445,40
L1,1.0,2.0,0.1,9.032625151781266,19.5727744962471,40.42990553353475,40
L1,1.0,2.0,0.2,9.032625151781266,19.5727744962471,40.42990553353475,40
L1,1.2,1.0,0.05,9.131700829206615,20.57981455776916,41.90220386055879,40
L1,1.2,1.0,0.1,9.131700829206615,20.57981455776916,41.90220386055879,40
L1,1.2,2.0,0.2,8.510705406172201,18.761228260101095,39.202865617263384,40
L1,1.2,1.0,0.2,9.131700829206615,20.57981455776916,41.90220386055879,40
L1,1.2,1.5,0.05,8.485066984303973,18.67143202479739,38.772003739224594,40
L1,1.2,2.0,0.05,8.510705406172201,18.761228260101095,39.202865617263384,40
L1,1.2,2.0,0.1,8.510705406172201,18.761228260101095,39.202865617263384,40
L1,1.2,1.5,0.2,8.465687139342734,18.748951404642355,38.772003739224594,40
L1,1.2,2.0,0.3,8.510705406172201,18.761228260101095,39.202865617263384,40
L1,1.2,1.5,0.1,8.465687139342734,18.748951404642355,38.772003739224594,40
L2,0.5,1.5,0.8,9.281020753144592,20.073949531870035,41.57778609540581,40
L2,0.5,1.5,0.5,9.82395346690727,21.982034857952392,43.358238008081706,40
L2,0.5,1.5,0.2,9.886536245639045,22.027648988117342,43.291033707006434,40
L2,0.8,1.0,0.2,10.32505670812136,22.333149948972455,44.95998504450729,40
L2,0.5,1.0,0.2,10.285730454785249,22.305464898289646,43.83118300751026,40
L2,0.5,1.0,0.8,9.246216332210906,20.527158413529136,41.986147804436754,40
L2,0.5,1.0,0.3,10.353443140422462,22.538951640865825,43.93802061434787,40
L2,0.5,1.0,0.5,10.070115109396827,21.975675044466787,43.445961829463066,40
L2,0.5,2.0,0.3,10.04962932463048,22.17848458041211,43.40328305312674,40
L2,0.5,2.0,0.2,10.101758528485941,22.21180101766085,43.43554111764288,40
L2,0.5,2.0,0.5,9.843791530763577,21.832443812947552,43.62102762278214,40
L2,0.5,1.5,0.3,9.857389991351624,22.045897163299824,43.291033707006434,40
L2,0.8,1.0,0.5,10.44180736689846,22.322951171315985,44.970627527024774,40
L2,0.8,1.0,0.3,10.333524401598028,22.296237014462264,44.95998504450729,40
L2,0.5,2.0,0.8,8.987927904477782,19.5729561161939,41.343310302212096,40
L2,0.8,1.0,0.8,11.022274018540712,23.48451715714409,46.62285843069496,40
L2,1.0,1.0,0.3,10.187858009029949,21.94425092982477,44.825301970633134,40
L2,0.8,2.0,0.3,10.35720706213949,22.45214053205503,45.006776464261904,40
L2,1.0,1.0,0.2,10.326843012169892,22.250984342139677,44.97487462020579,40
L2,0.8,2.0,0.2,10.395692839640065,22.671383134830624,45.089013306367164,40
L2,0.8,1.5,0.3,10.369520161711286,22.344224253594245,45.10567997303383,40
L2,1.0,1.5,0.2,10.4466682468067,22.026130751615955,44.99514690574911,40
L2,1.0,1.5,0.3,10.2992717795761,21.97042082462456,44.99257637686279,40
L2,0.8,1.5,0.5,10.285377714272276,22.307334117393793,45.02344313092856,40
L2,0.8,1.5,0.8,11.010148515084516,24.698230490488747,49.172908522212694,40
L2,1.0,1.0,0.8,11.088550878003376,23.849606565006635,48.01945222608667,40
L2,0.8,2.0,0.5,10.141515629855542,22.192028754463085,45.02489240629089,40
L2,1.0,1.5,0.5,10.20314628590926,21.881700472196705,44.99257637686279,40
L2,0.8,2.0,0.8,10.580939409887153,23.741326943792266,47.873792938415406,40
L2,0.8,1.5,0.2,10.328560006939426,22.439086204219286,45.12392814821631,40
L2,1.0,1.0,0.5,10.192573364832828,21.946005175297206,44.87991426302708,40
L2,1.0,1.5,0.8,10.74222611051323,23.417857301557472,47.68798953398432,40
L2,1.0,2.0,0.2,10.306486321158692,21.778194189926165,44.67798925868366,40
L2,1.0,2.0,0.3,10.220642122490341,21.7975319567963,44.67798925868366,40
L2,1.2,1.5,0.2,10.792585291905871,22.391422503793223,45.13101281539455,40
L2,1.2,1.0,0.3,10.475611143480265,22.04857602834966,45.02831102463458,40
L2,1.0,2.0,0.5,10.222825094581708,22.248830889736205,45.693471017480604,40
L2,1.0,2.0,0.8,10.600681442245602,23.06841277957336,46.75194921897911,40
L2,1.2,1.5,0.5,11.219054005686765,23.326565086379933,46.55508619664762,40
L2,1.2,1.0,0.2,10.484662256182652,22.049410456474842,45.09282715366684,40
L2,1.2,1.0,0.5,10.999934339294962,23.049575206986034,46.34923847709158,40
L2,1.2,2.0,0.2,10.636327379173522,22.42445393182564,45.268108176174124,40
L2,1.2,1.0,0.8,11.203367891176075,23.767914622921488,47.93126751152974,40
L2,1.2,1.5,0.8,11.246556534363194,23.902413654570953,47.89523322133666,40
L2,1.2,1.5,0.3,10.750278974973574,22.31344442494817,45.13101281539455,40
L2,1.2,2.0,0.5,10.641173089866747,22.868232482477737,45.9006259752836,40
L2,1.2,2.0,0.3,10.342698264561673,21.93746472499924,44.607833228449785,40
L2,1.2,2.0,0.8,10.57909240073977,22.83806707191949,46.305279765244435,40
